Word,Method,Pos,Count
nothing,xpos,NN,2000
nothing,xpos,NNS,1873
will,upos,AUX,2000
will,upos,NOUN,1985
will,upos,VERB,1731
will,xpos,MD,2000
will,xpos,NN,1985
will,xpos,VBN,1731
sit,upos,VERB,2000
sit,upos,NOUN,590
sit,xpos,VB,2000
sit,xpos,VBP,1959
sit,xpos,VBG,1929
sit,xpos,VBD,1739
sit,xpos,VBZ,1601
sit,xpos,NN,590
here,upos,ADV,2000
here,upos,VERB,1642
here,upos,NOUN,1443
here,xpos,RB,2000
here,xpos,VB,1642
here,xpos,NN,1443
here,xpos,VBZ,1318
long,upos,ADV,2000
long,upos,ADJ,1998
long,upos,INTJ,1926
long,upos,VERB,1742
long,xpos,RB,2000
long,xpos,JJ,1998
long,xpos,UH,1926
long,xpos,VBG,1742
long,xpos,VBZ,727
as,upos,SCONJ,2000
as,upos,ADV,2000
as,upos,ADP,1995
as,xpos,IN,2000
as,xpos,RB,2000
take,upos,VERB,2000
take,upos,NOUN,1727
take,xpos,VBZ,2000
take,xpos,VB,1998
take,xpos,VBD,1992
take,xpos,VBP,1951
take,xpos,VBN,1940
take,xpos,VBG,1892
take,xpos,NN,1727
get,upos,VERB,2000
get,upos,AUX,1987
get,upos,NOUN,898
get,xpos,VB,2000
get,xpos,VBP,2000
get,xpos,VBD,1999
get,xpos,VBN,1992
get,xpos,VBZ,1978
get,xpos,VBG,1965
get,xpos,MD,1907
get,xpos,NNS,898
get,xpos,NN,502
alone,upos,ADV,2000
alone,upos,ADJ,1964
alone,xpos,RB,2000
alone,xpos,JJ,1964
but,upos,CCONJ,2000
but,upos,ADP,189
but,xpos,CC,2000
but,xpos,IN,189
soon,upos,ADV,2000
soon,upos,ADJ,446
soon,xpos,RB,2000
soon,xpos,JJ,446
come,upos,VERB,2000
come,upos,NOUN,958
come,xpos,VBP,2000
come,xpos,VB,1998
come,xpos,VBZ,1991
come,xpos,VBD,1990
come,xpos,VBG,1944
come,xpos,VBN,1944
